,Name,Image,Price,Link
124,The Band,https://dto508s2j2p46.cloudfront.net/system/spree/products/9321/product/P52704347_TheBand__YG_Front.png?1573489334,265,mejuri.com/shop/products/the-band
125,Eternity Band,https://dto508s2j2p46.cloudfront.net/system/spree/products/9317/product/P52704395_EternityBand__YG_Front.png?1573489278,975,mejuri.com/shop/products/eternity-band
126,Diamonds Pavé Evil Eye Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/9514/product/p52705134_Diamonds_Pave_Evil_Eye_Ring_YG_Front.png?1574472928,195,mejuri.com/shop/products/diamond-pave-evil-eye-ring
127,Diamonds Pavé Star Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/9515/product/p52705036_Diamonds_Pave_Star_Ring_YG_Front.png?1574473059,190,mejuri.com/shop/products/diamonds-pave-star-ring
128,Sculpture Band,https://dto508s2j2p46.cloudfront.net/system/spree/products/9504/product/p52705095_Sculpture_Band_YG_Front.png?1574472119,125,mejuri.com/shop/products/sculpture-band
129,Dewdrop Baguette Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/9517/product/p52705271_Dewdrop_Baguette_Ring_Swiss_Blue_Topaz_YG_Front.png?1574473134,165,mejuri.com/shop/products/dewdrop-baguette-ring-swiss-blue-topaz
130,Dewdrops Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/9521/product/p52705281_Dewdrops_Ring_Swiss_Blue_Topaz_YG_Front.png?1574473505,160,mejuri.com/shop/products/dewdrops-ring-swiss-blue-topaz
131,Dewdrop Wave Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/9527/product/p52705296_Dewdrop_Wave_Ring_Tsavorite_YG_Angle.png?1574473878,140,mejuri.com/shop/products/dewdrop-wave-ring-tsavorite
132,Malachite Square Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/9251/product/Greenmalachite_ring_14k_front.png?1572026269,175,mejuri.com/shop/products/malachite-square-ring
133,360 Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/9567/product/p052525_360_Ring_YG_Angle.png?1574534367,95,mejuri.com/shop/products/360-ring
